Sentence,Rubric,Score,FeedbackCode,Avg_Word_Length,Avg_Sentence_Length,Word_Count,Unq_Word_Count,Sentence_Count,Avg_Readability_Index,TokenizedSentences,TokenizedText,Grade,Outcome,Rubric_Encode,Grade_Encode
Moodle corrupted the word doc.,Sensemaking 2,80.0,40,6,4.33,6,5,1,66.4,"['moodle', 'corrupted', 'word', 'doc', '.']",moodle corrupted word doc .,HD,Pass,7,2
"Please note that all project teams were provided feedback from KV in consultations, and provided a copy of their feedback at that time. KV"" ",Agency 1,63.0,41,27,4.33,27,13,2,64.04,"['please', 'note', 'project', 'teams', 'provided', 'feedback', 'kv', 'consultations', ',', 'provided', 'copy', 'feedback', 'time', '.', 'kv', ""''""]","please note project teams provided feedback kv consultations , provided copy feedback time . kv ''",C,Pass,0,0
"""as per the general video comments, particularly with regard to using provided papers and referencing. Needs more detail.",Sensemaking 1,50.0,44,22,4.77,22,15,2,36.96,"['``', 'per', 'general', 'video', 'comments', ',', 'particularly', 'regard', 'using', 'provided', 'papers', 'referencing', '.', 'needs', 'detail', '.']","`` per general video comments , particularly regard using provided papers referencing . needs detail .",P,Pass,6,4
"APA standards need to be applied in referencing"" ",Impact 1,50.0,44,9,4.67,9,6,1,46.44,"['apa', 'standards', 'need', 'applied', 'referencing', ""''""]",apa standards need applied referencing '',P,Pass,3,4
"""overall, lacks depth and did not answer all questions fully.;"" ",Sensemaking 1,54.8,45,15,3.73,15,11,2,69.79,"['``', 'overall', ',', 'lacks', 'depth', 'answer', 'questions', 'fully', '.', ';', ""''""]","`` overall , lacks depth answer questions fully . ; ''",P,Pass,6,4
""" You've received good marks for the content part of each question as you have demonstrated that you understand each concept and explained it well.",Sensemaking 2,64.75,46,27,4.59,27,14,1,55.58,"['``', ""'ve"", 'received', 'good', 'marks', 'content', 'part', 'question', 'demonstrated', 'understand', 'concept', 'explained', 'well', '.']",`` 've received good marks content part question demonstrated understand concept explained well .,C,Pass,7,0
Include at least one citation for each question and make sure you both cite in-line and reference correctly;,Impact 1,64.75,46,19,4.79,19,12,1,61.67,"['include', 'least', 'one', 'citation', 'question', 'make', 'sure', 'cite', 'in-line', 'reference', 'correctly', ';']",include least one citation question make sure cite in-line reference correctly ;,C,Pass,3,0
"Add figure/table numbers and describe each figure and table; and for maximum marks, You need to discuss (not just describe) elements about each question. "" ",Impact 1,64.75,46,29,4.55,29,17,1,47.12,"['add', 'figure/table', 'numbers', 'describe', 'figure', 'table', ';', 'maximum', 'marks', ',', 'need', 'discuss', '(', 'describe', ')', 'elements', 'question.', '``']","add figure/table numbers describe figure table ; maximum marks , need discuss ( describe ) elements question. ``",C,Pass,3,0
"""Team 1 decisions re marking were as follows, and is recorded in MS TEAMS:",Agency 1,54.0,47,17,3.65,17,11,1,74.19,"['``', 'team', '1', 'decisions', 'marking', 'follows', ',', 'recorded', 'ms', 'teams', ':']","`` team 1 decisions marking follows , recorded ms teams :",P,Pass,0,4
i) to split the completion of Ass 2B report into individual parts [(this was agreed to by the tutor (KV) and Chief Examiner (CC)] - the parts/split is recorded in the Appendix of Team 1's submitted report;,Agency 1,54.0,47,47,3.6,47,26,1,34.94,"[')', 'split', 'completion', 'ass', '2b', 'report', 'individual', 'parts', '[', '(', 'agreed', 'tutor', '(', 'kv', ')', 'chief', 'examiner', '(', 'cc', ')', ']', '-', 'parts/split', 'recorded', 'appendix', 'team', '1', ""'s"", 'submitted', 'report', ';']",) split completion ass 2b report individual parts [ ( agreed tutor ( kv ) chief examiner ( cc ) ] - parts/split recorded appendix team 1 's submitted report ;,P,Pass,0,4
ii) to be individually marked for these parts;,Agency 1,54.0,47,10,3.9,10,6,1,63.36,"['ii', ')', 'individually', 'marked', 'parts', ';']",ii ) individually marked parts ;,P,Pass,0,4
"iii) it was also decided to share equally the marks for reference and language proficiency. KV"" ",Agency 1,54.0,47,19,4.26,19,13,2,46.78,"['iii', ')', 'also', 'decided', 'share', 'equally', 'marks', 'reference', 'language', 'proficiency', '.', 'kv', ""''""]",iii ) also decided share equally marks reference language proficiency . kv '',P,Pass,0,4
"""Zhengyang, you write really well - see how you can improve on providing depth in writing by giving examples or use comparison techniques to show your own understanding.",Sensemaking 1,70.0,48,31,4.61,31,20,1,44.07,"['``', 'zhengyang', ',', 'write', 'really', 'well', '-', 'see', 'improve', 'providing', 'depth', 'writing', 'giving', 'examples', 'use', 'comparison', 'techniques', 'show', 'understanding', '.']","`` zhengyang , write really well - see improve providing depth writing giving examples use comparison techniques show understanding .",D,Pass,6,1
"Good work.;"" ",Agency 2,70.0,48,5,2.4,5,5,2,77.91,"['good', 'work', '.', ';', ""''""]",good work . ; '',D,Pass,1,1
"""Your schedule was reasonable, And I'm happy that you are demonstrated your ability to use Project.",Sensemaking 1,56.39,49,20,4.25,20,11,1,63.7,"['``', 'schedule', 'reasonable', ',', ""'m"", 'happy', 'demonstrated', 'ability', 'use', 'project', '.']","`` schedule reasonable , 'm happy demonstrated ability use project .",P,Pass,6,4
Your resource allocation was underbaked.,Sensemaking 1,56.39,49,6,6.0,6,4,1,15.64,"['resource', 'allocation', 'underbaked', '.']",resource allocation underbaked .,P,Pass,6,4
A lot more will become clear when you have experience using this tool for commercial projects.,Impact 3,56.39,49,17,4.65,17,9,1,72.16,"['lot', 'become', 'clear', 'experience', 'using', 'tool', 'commercial', 'projects', '.']",lot become clear experience using tool commercial projects .,P,Pass,5,4
The rest of your sections were generally not too bad.,Sensemaking 1,56.39,49,11,4.0,11,5,1,78.25,"['rest', 'sections', 'generally', 'bad', '.']",rest sections generally bad .,P,Pass,6,4
You really need to tighten up your citations you are losing easy marks.,Impact 1,56.39,49,14,4.21,14,8,1,66.74,"['really', 'need', 'tighten', 'citations', 'losing', 'easy', 'marks', '.']",really need tighten citations losing easy marks .,P,Pass,3,4
Also I am still seeing no evidence of ciritcal analysis.,Sensemaking 1,56.39,49,11,4.27,11,7,1,44.41,"['also', 'still', 'seeing', 'evidence', 'ciritcal', 'analysis', '.']",also still seeing evidence ciritcal analysis .,P,Pass,6,4
"Finally, just dumping your gannt chart with no explanation was not a good move."" ",Sensemaking 1,56.39,49,17,4.0,17,10,1,57.27,"['finally', ',', 'dumping', 'gannt', 'chart', 'explanation', 'good', 'move', '.', ""''""]","finally , dumping gannt chart explanation good move . ''",P,Pass,6,4
Q 10 is poorly answered.Lacks understanding.,Sensemaking 1,80.0,50,7,5.57,7,6,1,31.55,"['q', '10', 'poorly', 'answered.lacks', 'understanding', '.']",q 10 poorly answered.lacks understanding .,HD,Pass,6,2
Moodle corrupted the word doc. Please use Pdfs,Sensemaking 2,80.0,51,9,4.33,9,8,2,84.34,"['moodle', 'corrupted', 'word', 'doc', '.', 'please', 'use', 'pdfs']",moodle corrupted word doc . please use pdfs,HD,Pass,7,2
As per attached.,Agency 1,60.4,52,4,3.5,4,3,1,93.81,"['per', 'attached', '.']",per attached .,C,Pass,0,0
"""good in general.",Agency 2,70.0,53,5,3.2,5,4,1,59.97,"['``', 'good', 'general', '.']",`` good general .,D,Pass,1,1
"risk register good, lacks detailed analysis and description"" ",Sensemaking 1,70.0,53,10,5.4,10,9,1,29.52,"['risk', 'register', 'good', ',', 'lacks', 'detailed', 'analysis', 'description', ""''""]","risk register good , lacks detailed analysis description ''",D,Pass,6,1
Refer to attached.,Agency 1,51.0,55,4,4.0,4,3,1,59.97,"['refer', 'attached', '.']",refer attached .,P,Pass,0,4
Wbs needs work as discussed in tutorial.;,Sensemaking 1,75.0,57,9,3.89,9,7,2,64.37,"['wbs', 'needs', 'work', 'discussed', 'tutorial', '.', ';']",wbs needs work discussed tutorial . ;,D,Pass,6,1
"In essence the report contsined most infromation, however the analysis of application needed further depth."" ",Sensemaking 2,61.94,59,18,5.28,18,12,1,22.41,"['essence', 'report', 'contsined', 'infromation', ',', 'however', 'analysis', 'application', 'needed', 'depth', '.', ""''""]","essence report contsined infromation , however analysis application needed depth . ''",C,Pass,7,0
"""Jiayu, a good attempt, you would need to show more depth and see how you can identify key and relevant concepts in this area.;"" ",Agency 2,64.1,61,30,3.57,30,18,2,72.5,"['``', 'jiayu', ',', 'good', 'attempt', ',', 'would', 'need', 'show', 'depth', 'see', 'identify', 'key', 'relevant', 'concepts', 'area', '.', ';', ""''""]","`` jiayu , good attempt , would need show depth see identify key relevant concepts area . ; ''",C,Pass,1,0
late submission.,Sensemaking 2,0.0,62,3,5.0,3,3,1,35.61,"['late', 'submission', '.']",late submission .,N,Fail,7,3
Make sure to submit before deadline.,Impact 2,0.0,62,7,4.43,7,5,1,73.85,"['make', 'sure', 'submit', 'deadline', '.']",make sure submit deadline .,N,Fail,4,3
Good luck.,Agency 3,0.0,62,3,3.0,3,3,1,120.21,"['good', 'luck', '.']",good luck .,N,Fail,2,3
"""Hi Sifan,We definitely will consider the contribution from each team member, and influenced their individual mark.",Agency 1,65.0,63,21,4.81,21,13,1,21.4,"['``', 'hi', 'sifan', ',', 'definitely', 'consider', 'contribution', 'team', 'member', ',', 'influenced', 'individual', 'mark', '.']","`` hi sifan , definitely consider contribution team member , influenced individual mark .",C,Pass,0,0
"Also please let all team members noticed that this is teamwork, if one person is not responsible for the team project, and your team project can not deliver as an """"expected project"""",; the team mark will be influenced as well.",Impact 2,65.0,63,49,3.92,49,21,1,47.8,"['also', 'please', 'let', 'team', 'members', 'noticed', 'teamwork', ',', 'one', 'person', 'responsible', 'team', 'project', ',', 'team', 'project', 'deliver', '``', ""''"", 'expected', 'project', ""''"", ""''"", ',', ';', 'team', 'mark', 'influenced', 'well', '.']","also please let team members noticed teamwork , one person responsible team project , team project deliver `` '' expected project '' '' , ; team mark influenced well .",C,Pass,4,0
";You have done a good job, please keep up the good work.",Agency 2,65.0,63,15,3.0,15,9,1,110.06,"[';', 'done', 'good', 'job', ',', 'please', 'keep', 'good', 'work', '.']","; done good job , please keep good work .",C,Pass,1,0
"Cheers,Lee"" ",Agency 3,65.0,63,4,3.0,4,4,1,-47.99,"['cheers', ',', 'lee', ""''""]","cheers , lee ''",C,Pass,2,0
Late entry,Sensemaking 2,65.0,64,2,4.5,2,2,1,77.91,"['late', 'entry']",late entry,C,Pass,7,0
Thanks for sharing.,Agency 3,65.0,64,4,4.25,4,3,1,93.81,"['thanks', 'sharing', '.']",thanks sharing .,C,Pass,2,0
It's amazing to hear to your experience and journey with this unit.,Agency 3,65.0,64,14,4.0,14,7,1,76.22,"[""'s"", 'amazing', 'hear', 'experience', 'journey', 'unit', '.']",'s amazing hear experience journey unit .,C,Pass,2,0
All the best for your future endeavours.,Agency 3,65.0,64,8,4.25,8,4,1,81.29,"['best', 'future', 'endeavours', '.']",best future endeavours .,C,Pass,2,0
Keep in touch. :),Agency 3,65.0,64,6,2.33,6,5,2,93.81,"['keep', 'touch', '.', ':', ')']",keep touch . : ),C,Pass,2,0
No Submission,Sensemaking 2,65.0,65,2,6.0,2,1,1,35.61,['submission'],submission,C,Pass,7,0
Thanks for the diary.-VT,Agency 3,65.0,65,4,5.25,4,2,1,92.8,"['thanks', 'diary.-vt']",thanks diary.-vt,C,Pass,2,0
Good luck and best wishes for the future it has been a pleasure working with you.P.B.,Agency 3,70.0,66,17,4.12,17,9,1,80.62,"['good', 'luck', 'best', 'wishes', 'future', 'pleasure', 'working', 'you.p.b', '.']",good luck best wishes future pleasure working you.p.b .,D,Pass,2,1
"""You have written more in line with FIT5122, there is less reflection more of a summary of things that you did.;"" ",Sensemaking 2,55.0,67,26,3.65,26,12,2,75.54,"['``', 'written', 'line', 'fit5122', ',', 'less', 'reflection', 'summary', 'things', '.', ';', ""''""]","`` written line fit5122 , less reflection summary things . ; ''",P,Pass,7,4
thanks for your diary.,Agency 3,55.0,68,5,3.8,5,3,1,92.8,"['thanks', 'diary', '.']",thanks diary .,P,Pass,2,4
Elaborate your reflection a little.,Sensemaking 2,55.0,68,6,5.17,6,4,1,32.56,"['elaborate', 'reflection', 'little', '.']",elaborate reflection little .,P,Pass,7,4
Just work on the sentence structure a little.-VT,Sensemaking 1,55.0,68,8,5.12,8,4,1,80.28,"['work', 'sentence', 'structure', 'little.-vt']",work sentence structure little.-vt,P,Pass,6,4
Good job Xiaoming .,Agency 2,70.0,69,4,4.0,4,4,1,34.59,"['good', 'job', 'xiaoming', '.']",good job xiaoming .,D,Pass,1,1
Keep it up.,Agency 2,70.0,69,4,2.25,4,2,1,119.19,"['keep', '.']",keep .,D,Pass,1,1
All the best!,Agency 3,70.0,69,4,2.75,4,2,1,119.19,"['best', '!']",best !,D,Pass,2,1
How how do you plan on overcoming these communication/time differences.,Impact 1,60.0,70,11,5.64,11,5,1,35.95,"['plan', 'overcoming', 'communication/time', 'differences', '.']",plan overcoming communication/time differences .,C,Pass,3,0
How do you feel about it? Satisfied/not satisfied.,Impact 1,60.0,70,10,4.3,10,5,2,63.36,"['feel', '?', 'satisfied/not', 'satisfied', '.']",feel ? satisfied/not satisfied .,C,Pass,3,0
Dig deep into your emotions.,Impact 1,60.0,70,6,4.0,6,4,1,83.32,"['dig', 'deep', 'emotions', '.']",dig deep emotions .,C,Pass,3,0
You can also reflect on what have you learnt in your studios/lecture.,Impact 1,60.0,70,13,4.46,13,5,1,84.68,"['also', 'reflect', 'learnt', 'studios/lecture', '.']",also reflect learnt studios/lecture .,C,Pass,3,0
How has it helped you?,Impact 1,60.0,70,6,3.0,6,2,1,117.16,"['helped', '?']",helped ?,C,Pass,3,0
Good overall.;,Agency 2,60.0,70,4,3.25,4,4,2,77.91,"['good', 'overall', '.', ';']",good overall . ;,C,Pass,1,0
"""There was lot of re-iteration notice in your reflection.",Sensemaking 1,50.0,71,11,4.55,11,6,1,45.42,"['``', 'lot', 're-iteration', 'notice', 'reflection', '.']",`` lot re-iteration notice reflection .,P,Pass,6,4
"Instead try to reflect more on your learnings from these activities, team dynamics, your action plan etc.;"" ",Impact 1,50.0,71,22,4.18,22,14,2,54.22,"['instead', 'try', 'reflect', 'learnings', 'activities', ',', 'team', 'dynamics', ',', 'action', 'plan', 'etc', '.', ';', ""''""]","instead try reflect learnings activities , team dynamics , action plan etc . ; ''",P,Pass,3,4
