,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Rubric_new,Rubric_unq,RubricCount,Elements,ElementCount,WordCount
332,"Be helpful: Offer suggestions for improvement"" 63","Be helpful: Offer suggestions for improvement"" ",Impact 1,63,120,Impact1 Impact1 Impact1 Impact1,Impact1,1,Impact,1,6
341,"Somegood examples were mentioned but I would like them to be listed in slides andexplained especially when it comes to reporting surveys and facts."" 68.4","Somegood examples were mentioned but I would like them to be listed in slides andexplained especially when it comes to reporting surveys and facts."" ",Sensemaking 1&Impact 1,68.4,121,Sensemaking2 Sensemaking1 Agency1 Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1,Sensemaking2 Sensemaking1 Agency1 Impact1,4,Sensemaking Agency Impact,3,24
345,I appreciate the effort. 69,I appreciate the effort.,Agency 2,69,122,Agency2 Sensemaking1 Sensemaking2 Agency2,Agency2 Sensemaking1 Sensemaking2,3,Agency Sensemaking,2,4
368,"Keep your minute template consistent for future meetings."" 67","Keep your minute template consistent for future meetings."" ",Impact 1,67,123,Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Agency1 Impact1 Impact1 Impact1 Impact1,Sensemaking1 Impact1 Agency1,3,Sensemaking Impact Agency,3,8
371,Your presentation could have more specifically answered the topic question. 68,Your presentation could have more specifically answered the topic question.,Sensemaking 2,68,124,Impact1 Impact1 Sensemaking2,Impact1 Sensemaking2,2,Impact Sensemaking,2,10
382,"-One day late submission"" 74","-One day late submission"" ",Sensemaking 2,74,125,Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking2,Sensemaking2 Sensemaking1 Impact1,3,Sensemaking Impact,2,4
392,"Considering the issues faced by virtual teams, multidisciplinary teams and cross cultural teams is a good way to start structuring your thinking.;"" 64","Considering the issues faced by virtual teams, multidisciplinary teams and cross cultural teams is a good way to start structuring your thinking.;"" ",Impact 3,64,126,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact3,Sensemaking1 Impact1 Impact3,3,Sensemaking Impact,2,22
401,"Thank you Nivedha, good luck with your final exam!"" 74","Thank you Nivedha, good luck with your final exam!"" ",Agency 3,74,127,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Agency3,Sensemaking1 Impact1 Agency3,3,Sensemaking Impact Agency,3,9
404,Good luck with the expo. 74,Good luck with the expo.,Agency 3,74,128,Sensemaking1 Sensemaking1 Agency3,Sensemaking1 Agency3,2,Sensemaking Agency,2,5
412,"The conclusion should have had the Ethical dilemma part clearly mentioned about regulations on AI.;"" 80","The conclusion should have had the Ethical dilemma part clearly mentioned about regulations on AI.;"" ",Sensemaking 1,80,129,Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,15
418,Keep your feedback free of judgement. 68,Keep your feedback free of judgement.,Impact 1,68,130,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,6
419,Please find theattached feedback for the first cut of your product video below: 79,Please find theattached feedback for the first cut of your product video below:,Agency 1,79,131,Agency1,Agency1,1,Agency,1,13
431,"The report should be focused on the problem and practical solutions / insights to help the reader understand and address that problem. "" 73","The report should be focused on the problem and practical solutions / insights to help the reader understand and address that problem. "" ",Impact 2,73,132,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact3 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Impact2,4,Sensemaking Impact,2,23
452,"Keep your minute templateconsistent for future meetings."" 63","Keep your minute templateconsistent for future meetings."" ",Impact 1,63,133,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Agency1 Impact1 Impact1 Impact1 Impact1,Sensemaking1 Impact1 Agency1,3,Sensemaking Impact Agency,3,7
456,"3. Story line is clear"" 75","3. Story line is clear"" ",Sensemaking 1,75,134,Agency2 Impact1 Sensemaking1 Sensemaking1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,5
466,";Ensure your report is written for your audience - it needs to be focused on the needs of a senior executive in your organisation, not your Monash tutor.;"" 60",";Ensure your report is written for your audience - it needs to be focused on the needs of a senior executive in your organisation, not your Monash tutor.;"" ",Impact 3,60,135,Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Impact3 Impact1 Impact1 Impact1 Impact3,Sensemaking1 Impact1 Impact3,3,Sensemaking Impact,2,28
469,Good luck with the expo. 74,Good luck with the expo.,Agency 3,74,136,Sensemaking2 Sensemaking1 Agency3,Sensemaking2 Sensemaking1 Agency3,3,Sensemaking Agency,2,5
473,"An terrific video!"" 85","An terrific video!"" ",Agency 2,85,137,Agency2 Sensemaking1 Sensemaking2 Agency2,Agency2 Sensemaking1 Sensemaking2,3,Agency Sensemaking,2,3
477,The only thing missing was information on the pre-cycling checklist - what is it and what is the benefit for me (the user). 75,The only thing missing was information on the pre-cycling checklist - what is it and what is the benefit for me (the user).,Sensemaking 1,75,138,Agency2 Sensemaking2 Sensemaking1 Sensemaking1,Agency2 Sensemaking2 Sensemaking1,3,Agency Sensemaking,2,23
483,"The IM page you reviewed needs significant improvement in terms of content and suggestions should be made.;"" 62","The IM page you reviewed needs significant improvement in terms of content and suggestions should be made.;"" ",Sensemaking 1,62,139,Agency3 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1,Agency3 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,17
489,"Furtherelaboration on the recommendations through specificity would have made themmore actionable and practical (timeframes, for how long, how often, when do youknow when you’re done etc)"" 71","Furtherelaboration on the recommendations through specificity would have made themmore actionable and practical (timeframes, for how long, how often, when do youknow when you’re done etc)"" ",Sensemaking 1,71,140,Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,26
495,"The recommendations were briefly mentioned, making it hard to put into practice. They were not related to the challenges identified earlier. "" 58.5","The recommendations were briefly mentioned, making it hard to put into practice. They were not related to the challenges identified earlier. "" ",Sensemaking 1,58.5,141,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,22
497,;Suggestions are useful and actionable 75,;Suggestions are useful and actionable,Sensemaking 1,75,142,Sensemaking2 Sensemaking1,Sensemaking2 Sensemaking1,2,Sensemaking,1,5
507,"Practical recommendations should be provided that are easy to put into practice."" 70.5","Practical recommendations should be provided that are easy to put into practice."" ",Impact 1,70.5,143,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,12
521,"Ensureyour report is written for your audience - it needs to be focused on the needsof a senior executive in your organisation, not your Monash tutor.;"" 55","Ensureyour report is written for your audience - it needs to be focused on the needsof a senior executive in your organisation, not your Monash tutor.;"" ",Impact 3,55,144,Sensemaking1 Sensemaking1 Sensemaking1 Impact3 Impact1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact3 Impact1 Impact3,Sensemaking1 Impact3 Impact1,3,Sensemaking Impact,2,26
524,The only thing is the video did not finish properly. Katherine 85,The only thing is the video did not finish properly. Katherine,Sensemaking 1,85,145,Agency2 Sensemaking2 Sensemaking1,Agency2 Sensemaking2 Sensemaking1,3,Agency Sensemaking,2,11
535,"The discussions and the outcomes could have been better captured.;"" 55","The discussions and the outcomes could have been better captured.;"" ",Sensemaking 1,55,146,Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,10
542,"Keep the good work up!Katherine"" 72","Keep the good work up!Katherine"" ",Agency 2,72,147,Agency2 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Agency2,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,5
549,"Some recommendations need to be explained further, making it much more practical for the management to take actions.;"" 65","Some recommendations need to be explained further, making it much more practical for the management to take actions.;"" ",Impact 1,65,148,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,18
552,Instructions on how to fill the form should have been removed 73,Instructions on how to fill the form should have been removed,Sensemaking 1,73,149,Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,11
573,"Keep your minute template consistent for future meetings."" 60","Keep your minute template consistent for future meetings."" ",Impact 1,60,150,Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Agency1 Impact1 Impact1 Impact1 Impact1,Sensemaking1 Impact1 Agency1,3,Sensemaking Impact Agency,3,8
577,"An terrific video!"" 85","An terrific video!"" ",Agency 2,85,151,Agency2 Sensemaking1 Sensemaking2 Agency2,Agency2 Sensemaking1 Sensemaking2,3,Agency Sensemaking,2,3
585,"Other – slideshow is fantastic to present text-based solutions. Katherine ; "" 72","Other – slideshow is fantastic to present text-based solutions. Katherine ; "" ",Sensemaking 1,72,152,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,12
599,"Checkyour English expression through a third party before submitting to ensure yourmessage can be clearly understood.;"" 58","Checkyour English expression through a third party before submitting to ensure yourmessage can be clearly understood.;"" ",Impact 2,58,153,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact3 Impact1 Impact3 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Impact3 Impact1 Impact3 Impact2,Sensemaking1 Impact3 Impact1 Impact2,4,Sensemaking Impact,2,16
605,Be helpful: Offer suggestions for improvement 70,Be helpful: Offer suggestions for improvement,Impact 1,70,154,Agency2 Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1,Agency2 Sensemaking1 Sensemaking2 Impact1,4,Agency Sensemaking Impact,3,6
609,"One thing could improve - purpose to help people from Iran with their mental health, could also add to settle in their new home Australia given your community services & language aid program will facilitate this huge transition to a new country. Katherine"" 80","One thing could improve - purpose to help people from Iran with their mental health, could also add to settle in their new home Australia given your community services & language aid program will facilitate this huge transition to a new country. Katherine"" ",Impact 1,80,155,Agency2 Sensemaking1 Sensemaking2 Impact1,Agency2 Sensemaking1 Sensemaking2 Impact1,4,Agency Sensemaking Impact,3,43
633,"Keep your minute template consistent for futuremeetings."" 54","Keep your minute template consistent for futuremeetings."" ",Impact 2,54,156,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Agency1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact2,Sensemaking1 Impact1 Agency1 Impact3 Impact2,5,Sensemaking Impact Agency,3,7
641,"I really enjoyed teaching you.Peter H"" 60","I really enjoyed teaching you.Peter H"" ",Agency 3,60,157,Sensemaking2 Sensemaking1 Sensemaking1 Agency1 Sensemaking1 Impact1 Sensemaking1 Agency3 Agency3,Sensemaking2 Sensemaking1 Agency1 Impact1 Agency3,5,Sensemaking Agency Impact,3,6
660,"Keep your minute templateconsistent for future meetings.;;"" 35","Keep your minute templateconsistent for future meetings.;;"" ",Impact 2,35,158,Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking2 Sensemaking1 Impact1 Impact3 Agency1 Impact2,6,Sensemaking Impact Agency,3,7
662,Good job on incorporating the feedback. 68,Good job on incorporating the feedback.,Sensemaking 2,68,159,Agency2 Sensemaking2,Agency2 Sensemaking2,2,Agency Sensemaking,2,6
