,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode
209,All the best for your future!,All the best for your future!,Agency 3,100,78
210,";Thanks,Lee"" 100",";Thanks,Lee"" ",Agency 3,100,78
211,"""Thanks for the diary.","""Thanks for the diary.",Agency 3,55,79
212,"Instead of describing the steps you took for a particular process throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" 55","Instead of describing the steps you took for a particular process throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" ",Impact 1,55,79
213,Late Submission. 0,Late Submission.,Sensemaking 2,90,80
214,Excellent DIARY Gayathri.; 90,Excellent DIARY Gayathri.;,Agency 2,90,80
215,No Submission 0,No Submission,Sensemaking 2,0,81
216,Hi Shuaipeng:Please make sure you talk to us before rejecting all the ideas the mentor give.,Hi Shuaipeng:Please make sure you talk to us before rejecting all the ideas the mentor give.,Agency 1,65,82
217,t is not really good to not to take feedbacks without valid reasonings. And the mentor won't be happy with this if it is not taken properly; 65,t is not really good to not to take feedbacks without valid reasonings. And the mentor won't be happy with this if it is not taken properly;,Impact 1,65,82
218,"""Thanks for the diary.#Agency 3*[@]Instead of describing the steps you took for finding the data throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" 55","""Thanks for the diary.#Agency 3*[@]Instead of describing the steps you took for finding the data throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" ",Impact 1,55,83
219,"""Hi Kaifeng,Good work, Please remember to communicate and work with your teammates, you are a good team.","""Hi Kaifeng,Good work, Please remember to communicate and work with your teammates, you are a good team.",Agency 2&Impact 2,65,84
220,Please balance the work and make sure the high performance of the task.,Please balance the work and make sure the high performance of the task.,Impact 2,65,84
221,"Thanks and regrads,Lee"" 65","Thanks and regrads,Lee"" ",Agency 3,65,84
222,good; work; 85,good; work;,Agency 2,85,85
223,"""Hi Chen,Good work! Please keep in communication and express your thinking, everyone in the team needs to be more responsible for the project.","""Hi Chen,Good work! Please keep in communication and express your thinking, everyone in the team needs to be more responsible for the project.",Agency 2&Impact 2,85,86
224,Keep up your good work and work in the team.,Keep up your good work and work in the team.,Agency 2&Impact 2,85,86
225,All the best!,All the best!,Agency 3,85,86
226,"Thanks and regards,Lee"" 85","Thanks and regards,Lee"" ",Agency 3,85,86
227,late submission.,late submission.,Sensemaking 2,70,87
228,Make sure to submit before the deadline.,Make sure to submit before the deadline.,Impact 2,70,87
229,Good luck. 0,Good luck.,Agency 3,70,87
230,Please let us know the more detailed info if you are comfortable to share that.. 70,Please let us know the more detailed info if you are comfortable to share that..,Impact 3,70,87
231,"""thank you - great work","""thank you - great work",Agency 3&Agency 2,65,88
232,however;How did you contribute to the problem statement?,however;How did you contribute to the problem statement?,Impact 1,65,88
233,how will you address the next steps?,how will you address the next steps?,Impact 1,65,88
234,what is action in ensuring tasks are not overdue?,what is action in ensuring tasks are not overdue?,Impact 1,65,88
235,"if so , what are you going to do about it?","if so , what are you going to do about it?",Impact 1,65,88
236,"please ensure all the challenges you can forsee, you come up with a suggestion on how you think you can resolve it.","please ensure all the challenges you can forsee, you come up with a suggestion on how you think you can resolve it.",Impact 1,65,88
237,"Please consider to reflect on your learnings and what challenges you can forsee and what you action or;how will you contribute to the team rather than listing on the activities you did."" 65","Please consider to reflect on your learnings and what challenges you can forsee and what you action or;how will you contribute to the team rather than listing on the activities you did."" ",Impact 1,65,88
238,"""Hi Shuoran,The reflective diary is not just describe something you have done or you have learnt.","""Hi Shuoran,The reflective diary is not just describe something you have done or you have learnt.",Sensemaking 2,55,89
239,"Remember, we were in the studio with you, and we know what happened in the studio.","Remember, we were in the studio with you, and we know what happened in the studio.",Impact 1,55,89
240,"For the reflective thinking and analysis, try to use a few sentences to describe a few important incidents and then focus on;what did you;feel, why did you have that feeling and what needs to improve to help your team.","For the reflective thinking and analysis, try to use a few sentences to describe a few important incidents and then focus on;what did you;feel, why did you have that feeling and what needs to improve to help your team.",Impact 1,55,89
241,"Besides, try to reflect deeply on how these learnings can help your team and your project.","Besides, try to reflect deeply on how these learnings can help your team and your project.",Impact 1,55,89
242,"For the action plan, you need to have some strategies to overcome some incidents which happened before, for example, if a similar issue occurs in the future, what actions will you take or what can you do to avoid this happen again."" 55","For the action plan, you need to have some strategies to overcome some incidents which happened before, for example, if a similar issue occurs in the future, what actions will you take or what can you do to avoid this happen again."" ",Impact 1,55,89
243,Late submission 0,Late submission,Sensemaking 2,0,90
244,"""Please make sure you tell your teammate about the issues, they won't know unless you tell them.","""Please make sure you tell your teammate about the issues, they won't know unless you tell them.",Impact 1,75,91
245,";Please avoid using strong words too"" 75",";Please avoid using strong words too"" ",Impact 1,75,91
246,"""Good Luck and best wishes from Mansi, me, and the whole teaching team!"" 70","""Good Luck and best wishes from Mansi, me, and the whole teaching team!"" ",Agency 3,70,92
247,Good Job on the reflection.,Good Job on the reflection.,Agency 2,70,93
248,just try to make it more concise.-VT 70,just try to make it more concise.-VT,Impact 1,70,93
249,Late Submission. 0,Late Submission.,Sensemaking 2,0,94
